trial,x_mach,y,r_cl,l_shat,log_cold_mass,log_warm_mass,T_cloud,T_floor,chi,t_cool_mix,t_cool_min,grid_dim,stop_time
240919_0.4_32,0.4,32.013216184940376,8e-05,2.4989679118099205e-06,-1.0,-0.8352396641094457,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,3.2000394964778582
240919_0.4_16000000,0.4,16006608.092470188,40.0,2.4989679118099205e-06,0.8072377110119133,-0.29400790431708607,800.0,800.0,5000.0,0.007212243962666301,0.00012171750179019365,256.0,1.5002060562182538
240702_0.6_320,0.5991415774393947,320.13216184940376,0.0008,2.4989679118099205e-06,-5.326345275652916,-0.3267980028151894,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,7.121329368102144
240620_0.5_16,0.4877571649954903,16.006608092470188,4e-05,2.4989679118099205e-06,-1.0,-1.0,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,128.0,19.99999954453265
240620_0.8_32,0.8328835566604409,32.013216184940376,8e-05,2.4989679118099205e-06,-1.0,-1.0,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,128.0,12.942167995922128
240620_0.6_32,0.6158506314589839,32.013216184940376,8e-05,2.4989679118099205e-06,-1.0,-1.0,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,128.0,12.378084891142802
240708_0.6_1600,0.5991415774393947,1600.6608092470187,0.004,2.4989679118099205e-06,-0.6226058134536268,0.8018792872049376,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,7.12132034358584
240709_0.6_160000000,0.607674369081375,160066080.92470193,0.04,2.4989679118099203e-10,0.8452706710292301,-1.5130849169719416,800.0,800.0,5000.0,7.212243962666303e-07,1.2171750179019362e-08,256.0,2.526015143700777
240709_0.6_1600000,0.607674369081375,1600660.8092470192,0.0004,2.4989679118099203e-10,0.7706392745000012,0.055331895304219,800.0,800.0,5000.0,7.212243962666303e-07,1.2171750179019362e-08,256.0,7.121296393641615
240709_0.6_16000,0.607674369081375,16006.608092470196,4e-06,2.4989679118099203e-10,0.3954625782253241,0.6561588124999964,800.0,800.0,5000.0,7.212243962666303e-07,1.2171750179019362e-08,256.0,7.121296393641615
240711_0.4_320,0.4152518843916399,320.13216184940376,0.0008,2.4989679118099205e-06,-3.828116619786136,0.0637343134467327,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,2.3290301130964672
