trial,x_mach,y,r_cl,l_shat,log_cold_mass,log_warm_mass,T_cloud,T_floor,chi,t_cool_mix,t_cool_min,grid_dim,stop_time
240715_0.6_16,0.6,16.006608092470188,4e-05,2.4989679118099205e-06,-1.0,-0.440561071630694,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,2.3790809475844474
240715_0.8_16,0.8,16.006608092470188,4e-05,2.4989679118099205e-06,-2.915549331846428,-0.5679516691447787,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,2.560110735887556
240715_0.4_160000,0.4,160066.08092470188,0.4,2.4989679118099205e-06,0.7679882627335036,0.1559514941885104,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,2.700120295292838
240715_0.6_160000,0.6,160066.08092470188,0.4,2.4989679118099205e-06,0.6286137096696611,0.4007480915216621,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,4.40014498742351
240715_0.8_160000,0.8,160066.08092470188,0.4,2.4989679118099205e-06,0.6621797940170694,0.6168228606296365,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,2.6000669888589862
240716_0.4_32000,0.4,32013.21618494037,0.08,2.4989679118099205e-06,0.6997399121697903,0.3581186353641904,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,4.600157073504363
240716_0.8_32000,0.8,32013.21618494037,0.08,2.4989679118099205e-06,-0.004870224641928,0.888191242585303,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,3.900025741177948
240716_0.4_64000,0.4,64026.43236988075,0.16,2.4989679118099205e-06,0.5937308993550948,0.5275379700637497,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,2.600058195669512
240716_0.8_64000,0.8,64026.43236988075,0.16,2.4989679118099205e-06,0.2572560463095615,0.8399436459486734,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,3.800086746207263
240716_0.4_8000,0.4,8003.304046235094,0.02,2.4989679118099205e-06,0.5286900267613243,0.5908150584087855,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,4.8261596293740165
240716_0.8_8000,0.8,8003.304046235094,0.02,2.4989679118099205e-06,-0.4717059238944387,0.9189485568338164,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,4.000215342048652
240716_0.4_4000,0.4,4001.652023117547,0.01,2.4989679118099205e-06,-0.687928120497441,0.8494527224085984,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,4.0000570646381135
240716_0.8_4000,0.8,4001.652023117547,0.01,2.4989679118099205e-06,-0.8557119596917434,0.9258068105508354,800.0,800.0,5000.0,0.0072122439626663,0.0001217175017901,256.0,3.666056555644536
