trial,x_mach,y,r_cl,l_shat,log_cloud_mass,T_cloud,T_floor,chi
240606_0.6_5,0.6,5.430814880889968,0.0001,1.841344295344728e-05,-1.0,40000.0,40000.0,100.0
240607_0.6_271,0.6,271.5407440444984,0.005,1.841344295344728e-05,1.0,40000.0,40000.0,100.0
